"rois","beta_val_no_motion","sig_no_motion","beta_val_motion_rmsd","sig_motion_rmsd","rmsd_change","beta_val_motion_snr","sig_motion_snr","snr_change","beta_val_motion_qi1","sig_motion_qi1","qi1_change"
"freesurfer.Left.Lateral.Ventricle",-1880.78560662121,FALSE,-1917.57454947584,FALSE,FALSE,-1889.32201874934,FALSE,FALSE,-1855.52114066243,FALSE,FALSE
"freesurfer.Left.Inf.Lat.Vent",-51.2086247039544,FALSE,-49.1100405741572,FALSE,FALSE,-50.3737528158821,FALSE,FALSE,-48.0712047148833,FALSE,FALSE
"freesurfer.Left.Cerebellum.White.Matter",362.358653796297,FALSE,354.472007660817,FALSE,FALSE,361.722971767462,FALSE,FALSE,448.871633138669,FALSE,FALSE
"freesurfer.Left.Cerebellum.Cortex",-648.326961840482,FALSE,-840.993181757596,FALSE,FALSE,-654.193596938691,FALSE,FALSE,-734.905358225947,FALSE,FALSE
"freesurfer.Left.Thalamus.Proper",419.859617835204,FALSE,399.324197766464,FALSE,FALSE,417.687177876159,FALSE,FALSE,419.110032149887,FALSE,FALSE
"freesurfer.Left.Caudate",163.676943684708,FALSE,146.550036767218,FALSE,FALSE,164.727609500678,FALSE,FALSE,155.564332141864,FALSE,FALSE
"freesurfer.Left.Putamen",282.817200258387,FALSE,265.061881977938,FALSE,FALSE,284.846835085677,FALSE,FALSE,295.943193043585,FALSE,FALSE
"freesurfer.Left.Pallidum",-30.6954747715305,FALSE,-34.1307612409334,FALSE,FALSE,-33.6595854150533,FALSE,FALSE,-33.9642808834415,FALSE,FALSE
"freesurfer.X3rd.Ventricle",-30.2433774169151,FALSE,-15.2278930395045,FALSE,FALSE,-33.2029903605493,FALSE,FALSE,-17.9926357766073,FALSE,FALSE
"freesurfer.X4th.Ventricle",110.707061314981,FALSE,112.516440442347,FALSE,FALSE,109.407772751527,FALSE,FALSE,64.1717016326471,FALSE,FALSE
"freesurfer.Brain.Stem",2234.93787451853,TRUE,2164.03792770446,TRUE,FALSE,2229.67284163284,TRUE,FALSE,2266.40848666329,TRUE,FALSE
"freesurfer.Left.Hippocampus",40.1216468190464,FALSE,24.8466753439601,FALSE,FALSE,39.9891455729717,FALSE,FALSE,31.5811133078349,FALSE,FALSE
"freesurfer.Left.Amygdala",55.8882663780916,FALSE,45.4821157856363,FALSE,FALSE,57.0902842454236,FALSE,FALSE,43.0525877718195,FALSE,FALSE
"freesurfer.CSF",-82.1062083263141,FALSE,-70.049967513016,FALSE,FALSE,-84.59226486265,FALSE,FALSE,-61.0882757037135,FALSE,FALSE
"freesurfer.Left.Accumbens.area",61.9150479310023,FALSE,56.6154715141289,FALSE,FALSE,63.2707847716153,FALSE,FALSE,62.2856365158161,FALSE,FALSE
"freesurfer.Left.VentralDC",289.269638967672,TRUE,290.329571967326,TRUE,FALSE,283.412082394267,TRUE,FALSE,293.256079057459,TRUE,FALSE
"freesurfer.Left.vessel",-2.0477534224194,FALSE,-2.03509902612738,FALSE,FALSE,-1.81890005376264,FALSE,FALSE,-1.58197753853604,FALSE,FALSE
"freesurfer.Left.choroid.plexus",53.0846502982392,FALSE,58.1753674677144,FALSE,FALSE,53.1724318006986,FALSE,FALSE,65.1548992118307,FALSE,FALSE
"freesurfer.Right.Lateral.Ventricle",-1590.97451511948,FALSE,-1576.43663020121,FALSE,FALSE,-1600.9198788245,FALSE,FALSE,-1527.56121133205,FALSE,FALSE
"freesurfer.Right.Inf.Lat.Vent",-0.665760102129678,FALSE,8.06738365883993,FALSE,FALSE,0.113940338967119,FALSE,FALSE,0.891143541726537,FALSE,FALSE
